Abreuvoir en Érable,5,450
Abreuvoir en Châtaignier,1,150
Abreuvoir en Charme,30,3000
Abreuvoir en Noyer,1,200
Abreuvoir en Merisier,15,1500
Abreuvoir en If,15,1500
Abreuvoir en Ébène,30,3000
Abreuvoir en Bombu,4,300
Abreuvoir en Oliviolet,4,400
Abreuvoir Classique,2,100
Abreuvoir en Bois Ancestral,90,9000
Abreuvoir en Bois Envoûté,90,9000
Abreuvoir en Bois de Tronknyde,4,350
Abreuvoir en Bambou Doré,90,9000
Abreuvoir en Bambou Magique,30,3000
Abreuvoir en Bois de Bambouto,5,500
Abreuvoir en Bois de Bambouto Sacré,80,8000
Abreuvoir en Bois de Kokoko,1,250
Abreuvoir en Chêne,4,270
Abreuvoir en Frêne,10,500
Abreuvoir du Tournesol Affamé,70,1250
Abreuvoir de Kankreblath,50,2500
Abreuvoir du Wa Wabbit,90,3000
Abreuvoir du Mantiscore,90,3000
Abreuvoir en Bambou,30,1500
Abreuvoir de la Reine Nyée,50,6000
Abreuvoir de Moon,50,6000
Abreuvoir en Bambou Sombre,30,2500
Abreuvoir du Rasboul Majeur,120,3750
Abreuvoir de Damadrya,70,7500
Abreuvoir du Capitaine Ekarlatte,120,3750
Abreuvoir du Blop Multicolore Royal,70,7500
Abreuvoir en Orme,50,3500
Abreuvoir du Minotot,90,9000
Abreuvoir de Sphincter Cell,70,7500
Abreuvoir du Kimbo,150,4500
Abreuvoir du Père Ver,150,4500
Abreuvoir en Bambou Sacré,70,4500
Abreuvoir du Glourséleste,90,9000
Abreuvoir de Fuji Givrefoux,150,4500
Abreuvoir de Bethel Akarna,110,12500
Abreuvoir de Meno,200,6250
Abreuvoir de Merkator,110,12500
Abreuvoir de Corruption,200,6250
Abreuvoir de Missiz Frizz,200,6250
Abreuvoir de Kabahal,110,12500
