nom,efficacité,utilisation
Baffeur en Charme,30,3000
Baffeur en Noyer,1,200
Abreuvoir en Érable,5,450
Abreuvoir en Châtaignier,1,150
Abreuvoir en Charme,30,3000
Abreuvoir en Noyer,1,200
Abreuvoir en Merisier,15,1500
Abreuvoir en If,15,1500
Abreuvoir en Ébène,30,3000
Foudroyeur en Bois Envoûté,90,9000
Abreuvoir en Bombu,4,300
Abreuvoir en Oliviolet,4,400
Foudroyeur en Oliviolet,4,400
Foudroyeur en Bombu,4,300
Foudroyeur en Merisier,15,1500
Abreuvoir Classique,2,100
Mangeoire Classique,2,100
Foudroyeur en Noyer,1,200
Mangeoire en Chêne,4,270
Mangeoire en If,15,1500
Mangeoire en Bois de Kokoko,1,250
Foudroyeur en Châtaignier,1,150
Mangeoire en Érable,5,450
Mangeoire en Charme,30,3000
Mangeoire en Châtaignier,1,150
Mangeoire en Noyer,1,200
Mangeoire en Merisier,15,1500
Mangeoire en Bombu,4,300
Mangeoire en Oliviolet,4,400
Foudroyeur en Charme,30,3000
Foudroyeur en Érable,5,450
Foudroyeur en Bois de Tronknyde,4,350
Caresseur en Plume de Tofu,1,150
Caresseur en Plume de Piou Bleu,1,100
Caresseur en Plume de Piou Violet,1,100
Baffeur Classique,2,100
Baffeur en Châtaignier,1,150
Baffeur en Chêne,4,270
Caresseur Classique,2,100
Baffeur en If,15,1500
Dragofesse Classique,2,100
Dragofesse en Cuir de Boostache Prépubère,1,100
Dragofesse en Cuir de Boufton Noir,1,100
Dragofesse en Cuir de Bouftou,1,150
Abreuvoir en Bois Ancestral,90,9000
Abreuvoir en Bois Envoûté,90,9000
Abreuvoir en Bois de Tronknyde,4,350
Abreuvoir en Bambou Doré,90,9000
Abreuvoir en Bambou Magique,30,3000
Abreuvoir en Bois de Bambouto,5,500
Abreuvoir en Bois de Bambouto Sacré,80,8000
Abreuvoir en Bois de Kokoko,1,250
Mangeoire en Bois Ancestral,90,9000
Mangeoire en Bois Envoûté,90,9000
Mangeoire en Bambou Doré,90,9000
Dragofesse en Cuir de Chef de Guerre Bouftou,7,700
Mangeoire en Bois de Bambouto,5,500
